Name,Barcode,BaseUnit,Price_Amount,GroupCode,Unnamed: 5,Unnamed: 6,Unnamed: 7,is_valid_barcode
EAT ME AVOCADO,8718963381532,EACH,1.69,FRUIT & VEG,,,,True
CREAM CIF,8690637068768,,1,GROCERY,,,,True
VOSS SPARKLING WATER 375ML,682430611751,,1.99,SOFT DRINKS,,,,True
TYRRELLS BLACK PEPPER,5060042641420,,2.79, GENERAL,,,,True
TYRRELLS SEA SALTED CRISP,5060042641000,,2.99, GENERAL,,,,True
TYRRELLS SEA SALT CIDER ,5060042641406,,2.79, GENERAL,,,,True
TYRRELLS SOUR CREAM,5056051801535,,2.79, GENERAL,,,,True
TERRA SWEET POTATO,728229124764,,3.15, GENERAL,,,,True
TERRA STRIPES SEA SALT,728229130444,,3.15,,,,,True
TERRA ORG SEA SALT,728229123590,,3.15, GENERAL,,,,True
GH POPPED VEGGIE SWEET CHILLI,5060326870867,,2.19,,,,,True
GH POPPED CRISPS SWEET BBQ,5060326870898,,2.19, GENERAL,,,,True
BEPPS SALT BLACK PEPPER,5060575080260,,2.19, GENERAL,,,,True
TROPIC MAX PLANTAIN SEA SALT,7862112310575,,2.79, GENERAL,,,,True
BEPPS BARBECUE FLAVOUR,5060575080239,,2.19,,,,,True
EAT  LENTIL CHIPS TOMATO BASIL,5026489483061,,2.49,SNACKS,,,,True
EA LENTIL MANGO MINT,5026489500539,,2.49,SNACKS,,,,True
EA HUMMUS CHILLI CHEESE,5026489500522,,1.99,SNACKS,,,,True
EAT HUMMUS CHIPS SALTED,5026489483023,,2.49,SNACKS,,,,True
EAT HUMMUS CHIPS TOMATO BASIL,5026489483030,,2.49,SNACKS,,,,True
ER HUMMUS CHIPS CHILL LEMON,5026489483047,,1.99,SNACKS,,,,True
ER CHEEZIE STRAWS CHEESEE,5026489500577,,2.19,SNACKS,,,,True
EAT HUMMUS CHIPS CREAMY DILL,5026489483207,,2.49,SNACKS,,,,True
EAT VEGGIE STRAWS KALE TOMATO,5026489490892,,2.49,SNACKS,,,,True
EAT LENTIL CHIPS CREAMY DILL,5026489483221,,2.49, GENERAL,,,,True
ER LENTIL CHIPS CHILLI LEMON,5026489483078,,1.99, GENERAL,,,,True
EAT LENTIL CHIPS SEA SALT,5026489483054,,2.49, GENERAL,,,,True
EAT QUINOA CHIPS SAUR CREAM CHIVE,5026489487083,,2.49, GENERAL,,,,True
EAT QUINOA CHIPS SUN-DRIED TOMATO R. GARLIC,5026489487076,,2.49, GENERAL,,,,True
ER QUINOA CHIPS CHILL LIME,5026489487069,,1.99,,,,,True
PUKKA THREE MINT,5065000523138,,4.99,TEA & COFFEE,,,,True
PUKKA RELAX,850835000030,,3.49,TEA & COFFEE,,,,True
PUKKA PEPPERMINT LICORICE,5060229011107,,4.99,TEA & COFFEE,,,,True
PUKKA THREE FENNEL,5060229010049,,4.99,TEA & COFFEE,,,,True
PUKKA AFTER DINNER,5065000523909,,4.79,TEA & COFFEE,,,,True
PUKKA ORGINAL CHAI,850835000719,,3.49,TEA & COFFEE,,,,True
PUKKA LOVE,850835000115,,3.49,TEA & COFFEE,,,,True
PUKKA ENGLISH BREAKFAST,5060229011565,,4.99,TEA & COFFEE,,,,True
PUKKA LEMONGRASS GINGER,5065000523923,,4.99,TEA & COFFEE,,,,True
PUKKA THREE LICORICE,5060229012043,,4.79,TEA & COFFEE,,,,True
PUKKA TURMERIC GOLD,5060229014559,,4.99,TEA & COFFEE,,,,True
PUKKA THREE GINGER,5065000523145,,4.99,TEA & COFFEE,,,,True
PUKKA TURMERIC ACTIVE,5060519140753,,4.99,TEA & COFFEE,,,,True
PUKKA THREE CINAMON,5060229011503,,3.99,TEA & COFFEE,,,,True
PUKKA REVITALISE,850835000016,,3.49,TEA & COFFEE,,,,True
PUKKA CLEANSE,850835000498,,3.49,TEA & COFFEE,,,,True
PUKKA THREE CHAMOMILE,5060229012562,,4.99,TEA & COFFEE,,,,True
PUKKA TULSI CLARITY,5060519143693,,4.99,TEA & COFFEE,,,,True
PUKKA EARL GREY,5060229011589,,4.99,TEA & COFFEE,,,,True
PUKKA NIGHT TIME,5065000523183,,4.99,TEA & COFFEE,,,,True
PUKKA HERBAL COLLECTION,5060229012371,,4.99,COFFEE & TEA,,,,True
YOGI CHOCO,4012824402416,,2.99,COFFEE & TEA,,,,True
YOGI INNER HARMONY,4012824403796,,3.49,COFFEE & TEA,,,,True
YOGI CHOCO MINT,4012824402850,,2.99,COFFEE & TEA,,,,True
YOGI LICORICE,4012824402423,,2.99,COFFEE & TEA,,,,True
YOGI CLASSIC,4012824402409,,2.99,COFFEE & TEA,,,,True
YOGI ROOIBOS,4012824400252,,2.99,COFFEE & TEA,,,,True
YOGI TEA ORG. BEDTIME,4012824402485,,3.49,COFFEE & TEA,,,,True
YOGI TEA ORG. THROAT COMFORT,4012824402515,,2.99,COFFEE & TEA,,,,True
YOGI BREATH DEEP,4012824401037,,2.99,COFFEE & TEA,,,,True
YOGI TEA ORG. STOMACH EASE,4012824402478,,3.49,COFFEE & TEA,,,,True
YOGI TEA HIMALAYA,4012824400108,,2.99,COFFEE & TEA,,,,True
YOGI MEN'S TEA,4012824401389,,2.99,COFFEE & TEA,,,,True
YOGI HEARTWARMING,4012824401723,,2.99,COFFEE & TEA,,,,True
YOGI SWEET CHILLI,4012824402430,,2.99,COFFEE & TEA,,,,True
YOGI TEA ORG. ECHINACEA,4012824402522,,2.99,COFFEE & TEA,,,,True
YOGI GINGER LEMON,4012824402508,,2.99,COFFEE & TEA,,,,True
YOGI WELLBEING,4012824401587,,3.49,COFFEE & TEA,,,,True
YOGI DETOX,4012824402492,,2.99,COFFEE & TEA,,,,True
YOGI LIME MINT,4012824400542,,2.99,COFFEE & TEA,,,,True
YOGI RELAX,4012824401167,,2.99,COFFEE & TEA,,,,True
YOGI IMMUNE SUPPORT,4012824403222,,2.99,COFFEE & TEA,,,,True
PLANTAIN CHIPS SWT,6006502200157,,1.39,SNACKS,,,,True
OLUOLU PLANTAIN CHPS CHILLI,6006502300154,,1.39,SNACKS,,,,True
GRACE NO SALT PLANTAIN ,5035139218045,,1.59,SNACKS,,,,True
GRACE SWEET PLANTAIN CHIPS,5035139217512,,1.49,SNACKS,,,,True
GRACE SWEET CHILLI CHIPS GLT FREE,5035139218540,,1.39,SNACKS,,,,True
VIVANI / 100 CACAO,4044889004106,,4.99,CHOCOLATE & SWEETS,,,,True
VIVANI %89 SUPERIOR DARK,4044889003420,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI 92% PANAMA FINE DARK,4044889002249,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI 85%,4044889000054,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI 75% FINE DARK,4044889002713,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI 89% DARK GINGER TUMERIC,4044889003437,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI BITTER,4044889004342,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI 70%,4044889002119,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI %62 DARK CARAMEL,4044889004335,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI CASSIS FINE DARK,4044889001044,,2.79,CHOCOLATE & SWEETS,,,,True
VIVANI GANZNUSS,4044889003192,,4.29,CHOCOLATE & SWEETS,,,,True
VIVANI PFEFERMINZ,4044889001051,,2.79,CHOCOLATE & SWEETS,,,,True
VIVANI LATTE,4044889001037,,2.79,CHOCOLATE & SWEETS,,,,True
VIVANI GIANDUJA,4044889001501,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI ORANGE,4044889001013,,2.79,CHOCOLATE & SWEETS,,,,True
VIVANI PRALINE,4044889001082,,2.99,CHOCOLATE & SWEETS,,,,True
VIVANI CAPPUCCINO,4044889001075,,2.79,CHOCOLATE & SWEETS,,,,True
VIVANI FINE DARK,4044889002171,,2.79,CHOCOLATE & SWEETS,,,,True
VIVANI 71%,4044889001006,,2.79,CHOCOLATE & SWEETS,,,,True
VIVANI MANDEL,4044889003208,,4.29,CHOCOLATE & SWEETS,,,,True
H!P OAT  M!LK CREAMY,5060561603145,,4.19,CHOCOLATE & SWEETS,,,,True
OMBAR %60 CACAO,5060102661108,,2.29,CHOCOLATE & SWEETS,,,,True
